BINCODE	NAME	IDENTIFIER	DESCRIPTION	TYPE
'1'	''	''	''	
'1.1'	''	''	''	
'1.1.1'	''	''	''	
'1.1.1.1'	'PS.lightreaction.photosystem II.LHC-II'	'go:0016168'	'chlorophyll binding'	
'1.1.2'	''	''	''	
'1.1.2.2'	'PS.lightreaction.photosystem I.PSI polypeptide subunits'	'go:0016168'	'chlorophyll binding'	
'1.1.3'	'PS.lightreaction.cytochrome b6/f'	'go:0045158'	'electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity'	
'1.1.3'	'PS.lightreaction.cytochrome b6/f'	'go:0046028'	'electron transporter, transferring electrons from cytochrome b6/f complex of photosystem II activity'	
'1.1.4'	'PS.lightreaction.ATP synthase'	'go:0046961'	'proton-transporting ATPase activity, rotational mechanism'	
'1.1.5'	'PS.lightreaction.other electron carrier (ox/red)'	'go:0009055'	'electron carrier activity'	
'1.1.5.4'	'PS.lightreaction.other electron carrier (ox/red).ferredoxin oxireductase'	'go:0050619'	'phytochromobilin:ferredoxin oxidoreductase activity'	
'1.1.6'	'PS.lightreaction.NADH DH'	'go:0003954'	'NADH dehydrogenase activity'	
'1.2'	''	''	''	
'1.2.1'	'PS.photorespiration.phosphoglycolate phosphatase'	'go:0008967'	'phosphoglycolate phosphatase activity'	
'1.2.2'	'PS.photorespiration.glycolate oxydase'	'go:0008891'	'glycolate oxidase activity'	
'1.2.4'	''	''	''	
'1.2.4.4'	'PS.photorespiration.glycine cleavage.H protein'	'go:0004375'	'glycine dehydrogenase (decarboxylating) activity'	
'1.2.5'	'PS.photorespiration.serine hydroxymethyltransferase'	'go:0004372'	'glycine hydroxymethyltransferase activity'	
'1.2.6'	'PS.photorespiration.hydroxypyruvate reductase'	'go:0016616'	'oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor'	
'1.2.7'	'PS.photorespiration.glycerate kinase'	'go:0008887'	'glycerate kinase activity'	
'1.3'	''	''	''	
'1.3.1'	'PS.calvin cyle.rubisco large subunit'	'go:0016984'	'ribulose-bisphosphate carboxylase activity'	
'1.3.2'	'PS.calvin cyle.rubisco small subunit'	'go:0016984'	'ribulose-bisphosphate carboxylase activity'	
'1.3.3'	'PS.calvin cyle.phosphoglycerate kinase'	'go:0004618'	'phosphoglycerate kinase activity'	
'1.3.4'	'PS.calvin cyle.GAP'	'go:0008886'	'glyceraldehyde-3-phosphate dehydrogenase (NADP+) activity'	
'1.3.5'	'PS.calvin cycle.TPIf'	'go:0004807'	'triose-phosphate isomerase activity'	
'1.3.6'	'PS.calvin cyle.aldolase'	'go:0004332'	'fructose-bisphosphate aldolase activity'	
'1.3.7'	'PS.calvin cyle.FBPase'	'go:0042132'	'fructose 1,6-bisphosphate 1-phosphatase activity'	
'1.3.8'	'PS.calvin cyle.transketolase'	'go:0004802'	'transketolase activity'	
'1.3.9'	'PS.calvin cyle.seduheptulose bisphosphatase'	'go:0050278'	'sedoheptulose-bisphosphatase activity'	
'1.3.10'	'PS.calvin cyle.Rib5P Isomerase'	'go:0004751'	'ribose-5-phosphate isomerase activity'	
'1.3.11'	'PS.calvin cyle.RPE'	'go:0004750'	'ribulose-phosphate 3-epimerase activity'	
'1.3.12'	'PS.calvin cyle.PRK'	'go:0008974'	'phosphoribulokinase activity'	
'2'	''	''	''	
'2.1'	''	''	''	
'2.1.1'	''	''	''	
'2.1.1.1'	'major CHO metabolism.synthesis.sucrose.SPS'	'go:0046524'	'sucrose-phosphate synthase activity'	
'2.1.1.2'	'major CHO metabolism.synthesis.sucrose.SPP'	'go:0050307'	'sucrose-phosphatase activity'	
'2.1.1.3'	'major CHO metabolism.synthesis.sucrose.FBPase'	'go:0042132'	'fructose 1,6-bisphosphate 1-phosphatase activity'	
'2.1.2'	''	''	''	
